ID,Field1,Field2,Field3,Field4
147,6fafcbf3a1230246433d5ba9af1f2685,"{u'lat': 28.6966687, u'long': 77.4180203}",location_tracking,2017-09-01 00:13:59.000000
148,72da31acf3cb317a640309de031dba1d,{u'paf': False},manual,2017-09-01 00:14:01.000000
149,68fce0f0a9017a708084d5361dfca22b,"{u'lat': 12.9354213, u'long': 80.237951}",location_tracking,2017-09-01 00:14:09.000000
150,b9acedf00cec06fd0b28b540630eb1e3,"{u'lat': 17.405211, u'long': 78.4864603}",location_tracking,2017-09-01 00:14:16.000000
151,0ab0702240ae003d937d36d2ab86529d,,request-cancelled-wave-zero,2017-09-01 00:14:23.000000
152,b08fe532cac3abd398fdc1e4b4658d73,,request-cancelled-wave-zero,2017-09-01 00:14:23.000000
153,9b70b91e21aef3949d589eb62d97e8f0,,request-cancelled-wave-zero,2017-09-01 00:14:23.000000
154,578d7f8dd158858385cf395f1240da71,,request-cancelled-wave-zero,2017-09-01 00:14:23.000000
155,6106045cb1202be26e60ce14e0f3c4af,,request-cancelled-wave-zero,2017-09-01 00:14:23.000000
156,778ce0d7d1e8d34f8d22c006e76705d5,,request-cancelled-wave-zero,2017-09-01 00:14:23.000000
157,03a10c09af28888ae9cea4e182115fc1,,request-cancelled-wave-zero,2017-09-01 00:14:23.000000
158,35ead58511765728949d405a51a9428a,,request-cancelled-wave-zero,2017-09-01 00:14:23.000000
159,b16847f37e57c6b8d807fbd274652d90,,request-cancelled-wave-zero,2017-09-01 00:14:23.000000
160,5a48dd790893ca906fe3ee70f5ae0488,,request-cancelled-wave-zero,2017-09-01 00:14:23.000000
161,86a7e49895367ef51be6432fffef82df,,request-cancelled-wave-zero,2017-09-01 00:14:23.000000
162,61dc1c5c3c523dde421009fbc61b8f86,,request-cancelled-wave-zero,2017-09-01 00:14:23.000000
163,04791cccb7383af8e190543ef03b501d,,request-cancelled-wave-zero,2017-09-01 00:14:23.000000
164,c69adb9f71d85d4af1263dfe4b919a5e,,request-cancelled-wave-zero,2017-09-01 00:14:23.000000
165,4961d2c53c216d3e2bd5e3f55e69a94d,,request-cancelled-wave-zero,2017-09-01 00:14:23.000000
166,14f9fd4d994e8cedcc092cc67c74358c,,request-cancelled-wave-zero,2017-09-01 00:14:23.000000
167,bdad96fb499f410ee4b0ed77a710564c,,request-cancelled-wave-zero,2017-09-01 00:14:23.000000
